county,indicator,Unit,Date,Value
Makueni (sub reg),"Population, Total",Persons,2019,130375
Makueni (sub reg),"Population, Male",Persons,2019,65418
Makueni (sub reg),"Population, Female",Persons,2019,64955
Makueni (sub reg),"Population, Intersex",Persons,2019,2
Makueni (sub reg),Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,100.7128012
Makueni (sub reg),Land Area (Sq. Km),sq. km,2019,609.3
Makueni (sub reg),Population Density (No. per Sq. Km),No. per Sq. Km,2019,214
Makueni (sub reg),Population (Excludes the special population),Persons,2019,128880
Makueni (sub reg),Number of Households,Number,2019,34479
Makueni (sub reg),Average Household size,,2019,4
Mbooni East,"Population, Total",Persons,2019,97756
Mbooni East,"Population, Male",Persons,2019,48152
Mbooni East,"Population, Female",Persons,2019,49601
Mbooni East,"Population, Intersex",Persons,2019,3
Mbooni East,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,97.07868793
Mbooni East,Land Area (Sq. Km),sq. km,2019,686.5
Mbooni East,Population Density (No. per Sq. Km),No. per Sq. Km,2019,142
Mbooni East,Population (Excludes the special population),Persons,2019,97523
Mbooni East,Number of Households,Number,2019,23734
Mbooni East,Average Household size,,2019,4
Mbooni West,"Population, Total",Persons,2019,102594
Mbooni West,"Population, Male",Persons,2019,49434
Mbooni West,"Population, Female",Persons,2019,53159
Mbooni West,"Population, Intersex",Persons,2019,1
Mbooni West,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,92.99271995
Mbooni West,Land Area (Sq. Km),sq. km,2019,270.7
Mbooni West,Population Density (No. per Sq. Km),No. per Sq. Km,2019,379
Mbooni West,Population (Excludes the special population),Persons,2019,102292
Mbooni West,Number of Households,Number,2019,24833
Mbooni West,Average Household size,,2019,4
Mukaa,"Population, Total",Persons,2019,107549
Mukaa,"Population, Male",Persons,2019,54481
Mukaa,"Population, Female",Persons,2019,53068
Mukaa,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,102.6626215
Mukaa,Land Area (Sq. Km),sq. km,2019,803.7
Mukaa,Population Density (No. per Sq. Km),No. per Sq. Km,2019,134
Mukaa,Population (Excludes the special population),Persons,2019,106239
Mukaa,Number of Households,Number,2019,28185
Mukaa,Average Household size,,2019,4
Nzaui,"Population, Total",Persons,2019,126701
Nzaui,"Population, Male",Persons,2019,63171
Nzaui,"Population, Female",Persons,2019,63526
Nzaui,"Population, Intersex",Persons,2019,4
Nzaui,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,99.44117369
Nzaui,Land Area (Sq. Km),sq. km,2019,775.2
Nzaui,Population Density (No. per Sq. Km),No. per Sq. Km,2019,163
Nzaui,Population (Excludes the special population),Persons,2019,124536
Nzaui,Number of Households,Number,2019,30819
Nzaui,Average Household size,,2019,4
Kinangop,"Population, Total",Persons,2019,111410
Kinangop,"Population, Male",Persons,2019,54727
Kinangop,"Population, Female",Persons,2019,56679
Kinangop,"Population, Intersex",Persons,2019,4
Kinangop,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,96.55604368
Kinangop,Land Area (Sq. Km),sq. km,2019,293.6
Kinangop,Population Density (No. per Sq. Km),No. per Sq. Km,2019,379
Kinangop,Population (Excludes the special population),Persons,2019,111119
Kinangop,Number of Households,Number,2019,30970
Kinangop,Average Household size,,2019,4
Nyandarua South,"Population, Total",Persons,2019,93870
Nyandarua South,"Population, Male",Persons,2019,46157
Nyandarua South,"Population, Female",Persons,2019,47708
Nyandarua South,"Population, Intersex",Persons,2019,5
Nyandarua South,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,96.74897292
Nyandarua South,Land Area (Sq. Km),sq. km,2019,313.6
Nyandarua South,Population Density (No. per Sq. Km),No. per Sq. Km,2019,299
Nyandarua South,Population (Excludes the special population),Persons,2019,93228
Nyandarua South,Number of Households,Number,2019,25822
Nyandarua South,Average Household size,,2019,4
Mirangine,"Population, Total",Persons,2019,67214
Mirangine,"Population, Male",Persons,2019,33447
Mirangine,"Population, Female",Persons,2019,33766
Mirangine,"Population, Intersex",Persons,2019,1
Mirangine,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,99.05526269
Mirangine,Land Area (Sq. Km),sq. km,2019,245.6
Mirangine,Population Density (No. per Sq. Km),No. per Sq. Km,2019,274
Mirangine,Population (Excludes the special population),Persons,2019,67121
Mirangine,Number of Households,Number,2019,18816
Mirangine,Average Household size,,2019,4
Kipipiri,"Population, Total",Persons,2019,93855
Kipipiri,"Population, Male",Persons,2019,46113
Kipipiri,"Population, Female",Persons,2019,47740
Kipipiri,"Population, Intersex",Persons,2019,2
Kipipiri,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,96.59195643
Kipipiri,Land Area (Sq. Km),sq. km,2019,456.3
Kipipiri,Population Density (No. per Sq. Km),No. per Sq. Km,2019,206
Kipipiri,Population (Excludes the special population),Persons,2019,93698
Kipipiri,Number of Households,Number,2019,25200
Kipipiri,Average Household size,,2019,4
Nyandarua Central,"Population, Total",Persons,2019,75262
Nyandarua Central,"Population, Male",Persons,2019,37329
Nyandarua Central,"Population, Female",Persons,2019,37931
Nyandarua Central,"Population, Intersex",Persons,2019,2
Nyandarua Central,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,98.41290765
Nyandarua Central,Land Area (Sq. Km),sq. km,2019,346.6
Nyandarua Central,Population Density (No. per Sq. Km),No. per Sq. Km,2019,217
Nyandarua Central,Population (Excludes the special population),Persons,2019,74835
Nyandarua Central,Number of Households,Number,2019,21942
Nyandarua Central,Average Household size,,2019,3
Nyandarua West,"Population, Total",Persons,2019,97965
Nyandarua West,"Population, Male",Persons,2019,48752
Nyandarua West,"Population, Female",Persons,2019,49209
Nyandarua West,"Population, Intersex",Persons,2019,4
Nyandarua West,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,99.07130809
Nyandarua West,Land Area (Sq. Km),sq. km,2019,384.9
Nyandarua West,Population Density (No. per Sq. Km),No. per Sq. Km,2019,255
Nyandarua West,Population (Excludes the special population),Persons,2019,97590
Nyandarua West,Number of Households,Number,2019,29008
Nyandarua West,Average Household size,,2019,3
Nyandarua North,"Population, Total",Persons,2019,98698
Nyandarua North,"Population, Male",Persons,2019,48486
Nyandarua North,"Population, Female",Persons,2019,50210
Nyandarua North,"Population, Intersex",Persons,2019,2
Nyandarua North,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,96.56642103
Nyandarua North,Land Area (Sq. Km),sq. km,2019,528.4
Nyandarua North,Population Density (No. per Sq. Km),No. per Sq. Km,2019,187
Nyandarua North,Population (Excludes the special population),Persons,2019,98396
Nyandarua North,Number of Households,Number,2019,27917
Nyandarua North,Average Household size,,2019,4
Aberdare National Park,"Population, Total",Persons,2019,15
Aberdare National Park,"Population, Male",Persons,2019,11
Aberdare National Park,"Population, Female",Persons,2019,4
Aberdare National Park,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,275
Aberdare National Park,Land Area (Sq. Km),sq. km,2019,716.7
Aberdare National Park,Population Density (No. per Sq. Km),No. per Sq. Km,2019,0
Aberdare National Park,Population (Excludes the special population),Persons,2019,15
Aberdare National Park,Number of Households,Number,2019,11
Aberdare National Park,Average Household size,,2019,1
Nyeri,"Population, Total",Persons,2019,759164
Nyeri,"Population, Male",Persons,2019,374288
Nyeri,"Population, Female",Persons,2019,384845
Nyeri,"Population, Intersex",Persons,2019,31
Nyeri,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,97.25681768
Nyeri,Land Area (Sq. Km),sq. km,2019,3325
Nyeri,Population Density (No. per Sq. Km),No. per Sq. Km,2019,228
Nyeri,Population (Excludes the special population),Persons,2019,752695
Nyeri,Number of Households,Number,2019,248050
Nyeri,Average Household size,,2019,3
Tetu,"Population, Total",Persons,2019,80453
Tetu,"Population, Male",Persons,2019,39293
Tetu,"Population, Female",Persons,2019,41155
Tetu,"Population, Intersex",Persons,2019,5
Tetu,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,95.47564087
Tetu,Land Area (Sq. Km),sq. km,2019,216.5
Tetu,Population Density (No. per Sq. Km),No. per Sq. Km,2019,372
Tetu,Population (Excludes the special population),Persons,2019,80283
Tetu,Number of Households,Number,2019,24139
Tetu,Average Household size,,2019,3
Kieni East,"Population, Total",Persons,2019,110376
Kieni East,"Population, Male",Persons,2019,55360
Kieni East,"Population, Female",Persons,2019,55012
Kieni East,"Population, Intersex",Persons,2019,4
Kieni East,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,100.6325893
Kieni East,Land Area (Sq. Km),sq. km,2019,448.7
Kieni East,Population Density (No. per Sq. Km),No. per Sq. Km,2019,246
Kieni East,Population (Excludes the special population),Persons,2019,109624
Kieni East,Number of Households,Number,2019,36835
Kieni East,Average Household size,,2019,3
Kieni West,"Population, Total",Persons,2019,88525
Kieni West,"Population, Male",Persons,2019,43843
Kieni West,"Population, Female",Persons,2019,44677
Kieni West,"Population, Intersex",Persons,2019,5
Kieni West,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,98.13326768
Kieni West,Land Area (Sq. Km),sq. km,2019,517.8
Kieni West,Population Density (No. per Sq. Km),No. per Sq. Km,2019,171
Kieni West,Population (Excludes the special population),Persons,2019,88014
Kieni West,Number of Households,Number,2019,27619
Kieni West,Average Household size,,2019,3
Mathira East,"Population, Total",Persons,2019,99065
Mathira East,"Population, Male",Persons,2019,48070
Mathira East,"Population, Female",Persons,2019,50992
Mathira East,"Population, Intersex",Persons,2019,3
Mathira East,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,94.26968936
Mathira East,Land Area (Sq. Km),sq. km,2019,130.4
Mathira East,Population Density (No. per Sq. Km),No. per Sq. Km,2019,760
Mathira East,Population (Excludes the special population),Persons,2019,98425
Mathira East,Number of Households,Number,2019,35044
Mathira East,Average Household size,,2019,3
Mathira West,"Population, Total",Persons,2019,59895
Mathira West,"Population, Male",Persons,2019,29480
Mathira West,"Population, Female",Persons,2019,30412
Mathira West,"Population, Intersex",Persons,2019,3
Mathira West,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,96.93542023
Mathira West,Land Area (Sq. Km),sq. km,2019,162.3
Mathira West,Population Density (No. per Sq. Km),No. per Sq. Km,2019,369
Mathira West,Population (Excludes the special population),Persons,2019,59729
Mathira West,Number of Households,Number,2019,19020
Mathira West,Average Household size,,2019,3
Nyeri South,"Population, Total",Persons,2019,91081
Nyeri South,"Population, Male",Persons,2019,44115
Nyeri South,"Population, Female",Persons,2019,46964
Nyeri South,"Population, Intersex",Persons,2019,2
Nyeri South,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,93.93365131
Nyeri South,Land Area (Sq. Km),sq. km,2019,169.2
Nyeri South,Population Density (No. per Sq. Km),No. per Sq. Km,2019,538
Nyeri South,Population (Excludes the special population),Persons,2019,90803
Nyeri South,Number of Households,Number,2019,28228
Nyeri South,Average Household size,,2019,3
Mukurwe-ini,"Population, Total",Persons,2019,89137
Mukurwe-ini,"Population, Male",Persons,2019,43975
Mukurwe-ini,"Population, Female",Persons,2019,45156
Mukurwe-ini,"Population, Intersex",Persons,2019,6
Mukurwe-ini,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,97.3846222
Mukurwe-ini,Land Area (Sq. Km),sq. km,2019,179.1
Mukurwe-ini,Population Density (No. per Sq. Km),No. per Sq. Km,2019,498
Mukurwe-ini,Population (Excludes the special population),Persons,2019,88674
Mukurwe-ini,Number of Households,Number,2019,27040
Mukurwe-ini,Average Household size,,2019,3
Nyeri Central,"Population, Total",Persons,2019,140338
Nyeri Central,"Population, Male",Persons,2019,69955
Nyeri Central,"Population, Female",Persons,2019,70380
Nyeri Central,"Population, Intersex",Persons,2019,3
Nyeri Central,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,99.39613527
Nyeri Central,Land Area (Sq. Km),sq. km,2019,167.6
Nyeri Central,Population Density (No. per Sq. Km),No. per Sq. Km,2019,837
Nyeri Central,Population (Excludes the special population),Persons,2019,136849
Nyeri Central,Number of Households,Number,2019,49945
Nyeri Central,Average Household size,,2019,3
Mt Kenya Forest,"Population, Total",Persons,2019,188
Mt Kenya Forest,"Population, Male",Persons,2019,123
Mt Kenya Forest,"Population, Female",Persons,2019,65
Mt Kenya Forest,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,189.2307692
Mt Kenya Forest,Land Area (Sq. Km),sq. km,2019,611.4
Mt Kenya Forest,Population Density (No. per Sq. Km),No. per Sq. Km,2019,0
Mt Kenya Forest,Population (Excludes the special population),Persons,2019,188
Mt Kenya Forest,Number of Households,Number,2019,101
Mt Kenya Forest,Average Household size,,2019,2
Aberdare Forest,"Population, Total",Persons,2019,106
Aberdare Forest,"Population, Male",Persons,2019,74
Aberdare Forest,"Population, Female",Persons,2019,32
Aberdare Forest,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,231.25
Aberdare Forest,Land Area (Sq. Km),sq. km,2019,722
Aberdare Forest,Population Density (No. per Sq. Km),No. per Sq. Km,2019,0
Aberdare Forest,Population (Excludes the special population),Persons,2019,106
Aberdare Forest,Number of Households,Number,2019,79
Aberdare Forest,Average Household size,,2019,1
Kirinyaga,"Population, Total",Persons,2019,610411
Kirinyaga,"Population, Male",Persons,2019,302011
Kirinyaga,"Population, Female",Persons,2019,308369
Kirinyaga,"Population, Intersex",Persons,2019,31
Kirinyaga,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,97.93818445
Kirinyaga,Land Area (Sq. Km),sq. km,2019,1478.3
Kirinyaga,Population Density (No. per Sq. Km),No. per Sq. Km,2019,413
Kirinyaga,Population (Excludes the special population),Persons,2019,605630
Kirinyaga,Number of Households,Number,2019,204188
Kirinyaga,Average Household size,,2019,3
Kirinyaga Central,"Population, Total",Persons,2019,122740
Kirinyaga Central,"Population, Male",Persons,2019,60118
Kirinyaga Central,"Population, Female",Persons,2019,62617
